Timestamp,Values,Type
2024-06-27 20:12:00,81,Low
2024-06-27 20:15:00,81,Peak
2024-06-27 20:15:00,80,Low
2024-06-27 20:33:00,76,Peak
2024-06-27 20:35:00,74,Low
2024-06-27 20:38:00,74,Peak
2024-06-27 20:40:00,72,Low
2024-06-27 20:51:00,69,Low
2024-06-27 20:51:00,70,Peak
2024-06-27 21:11:00,64,Low
2024-06-27 21:11:00,65,Peak
2024-06-27 21:16:00,64,Peak
2024-06-27 21:16:00,63,Low
2024-06-27 21:31:00,60,Peak
2024-06-27 21:31:00,59,Low
2024-06-27 21:38:00,56,Low
2024-06-27 21:38:00,57,Peak
2024-06-27 21:49:00,52,Low
2024-06-27 21:49:00,53,Peak
2024-06-27 21:52:00,51,Low
2024-06-27 21:52:00,52,Peak
2024-06-27 21:55:00,51,Peak
2024-06-27 21:55:00,50,Low
2024-06-27 22:01:00,48,Low
2024-06-27 22:01:00,49,Peak
2024-06-27 22:06:00,47,Peak
2024-06-27 22:06:00,46,Low
2024-06-27 22:25:00,44,Peak
2024-06-27 22:25:00,43,Low
2024-06-27 22:36:00,40,Low
2024-06-27 22:36:00,41,Peak
2024-06-27 22:48:00,38,Low
2024-06-27 22:48:00,39,Peak
2024-06-27 23:03:00,36,Low
2024-06-27 23:04:00,37,Peak
2024-06-27 23:25:00,35,Peak
2024-06-27 23:25:00,34,Low
2024-06-27 23:31:00,34,Peak
2024-06-27 23:31:00,33,Low
2024-06-27 23:36:00,33,Peak
2024-06-27 23:36:00,32,Low
2024-06-28 01:05:00,28,Low
2024-06-28 01:05:00,29,Peak
2024-06-28 06:53:00,100,Peak
2024-06-28 07:01:00,99,Low
2024-06-28 07:01:00,100,Peak
2024-06-28 09:43:00,94,Low
2024-06-28 09:43:00,95,Peak
2024-06-28 11:12:00,90,Peak
2024-06-28 11:12:00,89,Low
2024-06-28 11:30:00,88,Low
2024-06-28 11:30:00,89,Peak
2024-06-28 11:46:00,87,Peak
2024-06-28 11:46:00,86,Low
2024-06-28 11:59:00,85,Peak
2024-06-28 11:59:00,84,Low
2024-06-28 12:16:00,84,Peak
2024-06-28 12:18:00,82,Low
2024-06-28 12:23:00,81,Low
2024-06-28 12:23:00,82,Peak
2024-06-28 12:29:00,80,Low
2024-06-28 12:29:00,81,Peak
2024-06-28 12:34:00,80,Peak
2024-06-28 12:34:00,79,Low
2024-06-28 12:37:00,78,Low
2024-06-28 12:37:00,79,Peak
2024-06-28 12:43:00,78,Peak
2024-06-28 12:43:00,77,Low
2024-06-28 12:48:00,77,Peak
2024-06-28 12:48:00,76,Low
2024-06-28 12:55:00,76,Peak
2024-06-28 12:56:00,75,Low
2024-06-28 13:09:00,73,Peak
2024-06-28 13:09:00,72,Low
2024-06-28 13:27:00,69,Peak
2024-06-28 13:27:00,68,Low
2024-06-28 13:33:00,68,Peak
2024-06-28 13:33:00,67,Low
2024-06-28 13:46:00,63,Low
2024-06-28 13:46:00,64,Peak
2024-06-28 14:02:00,58,Low
2024-06-28 14:04:00,59,Peak
